spotify_track_uri,image_url
4mGrWfDISjNjgeQnH1B8IE,https://i.scdn.co/image/ab67616d0000b273778bedb4e8f49da407549eba
5j6ZZwA9BnxZi5Bk0Ng4jB,https://i.scdn.co/image/ab67616d0000b273b2232f2b7451f332de987d36
0dBatXn1vVUl0jLgXRClwD,https://i.scdn.co/image/ab67616d0000b273f5b95dce2bc9db5ed3f8028f
1RKUoGiLEbcXN4GY4spQDx,https://i.scdn.co/image/ab67616d0000b273f6c46838e4425ea96e2562fe
70MqJOpUHPB10OzrI06x7U,https://i.scdn.co/image/ab67616d0000b2735f0a59daa1b8f11bfbfe94f3
1H4idkmruFoJBg1DvUv2tY,https://i.scdn.co/image/ab67616d0000b273be7a3a1e2d663eea2918e5a3
1pWzKqNEL3gLB31Ax7e4hf,https://i.scdn.co/image/ab67616d0000b273902ee6bf578038912e0e009d
2l8Gq9hNquNgzgv00DftKX,https://i.scdn.co/image/ab67616d0000b273e4d788e99eabbc369179072d
69EjkJEfAxvfQeIAE9eBnr,https://i.scdn.co/image/ab67616d0000b2739a686fbd9ee8ced578b74461
5NIPsWpDjJTFBoPxCUUeXp,https://i.scdn.co/image/ab67616d0000b273c8e5391a619e9e8ea2162073
21LpuJa9M1boZw437fPu7M,https://i.scdn.co/image/ab67616d0000b2736c86683d20c72e3874c11c6d
