spotify_track_uri,image_url
7oChm7YC5PS1NvEkRCgswG,https://i.scdn.co/image/ab67616d0000b27374ffdd29cc4898e8ed01d747
3gdewACMIVMEWVbyb8O9sY,https://i.scdn.co/image/ab67616d0000b2733009007708ab5134936a58b3
5s6CxN0L84jNeA4pA4kbAd,https://i.scdn.co/image/ab67616d0000b273e2926d485aa6bd1a320eedb3
1BrbXIJ7b161oQ0PfC0K32,https://i.scdn.co/image/ab67616d0000b2730488a5c4e21edc24526652ae
7zSBOSD4w5LGv1bIblkVFp,https://i.scdn.co/image/ab67616d0000b2734062d0b07c3a74ab73632475
0qkftSyehmgEES0ymuYiTS,https://i.scdn.co/image/ab67616d0000b27327f96d443dac48bc9ff7bfab
7JAzAyjbJFPznEFdqpa1Si,https://i.scdn.co/image/ab67616d0000b273da6f73a25f4c79d0e6b4a8bd
5hBOEqqkcQaUgkRhh6EyX4,https://i.scdn.co/image/ab67616d0000b2733b812eed53f0d7e134fe446e
2vX5WL7s6UdeQyweZEx7PP,https://i.scdn.co/image/ab67616d0000b273cd8330aea6549a0d6207e22d
1PH8at6E0jy3rFPH66aH9m,https://i.scdn.co/image/ab67616d0000b273998de4d5c853371d7644d4ef
2ejVc73K8orfIk9W2uZKlg,https://i.scdn.co/image/ab67616d0000b273fce83d29756e02fd93e4d659
4f0xBbWvKWmuB17yebh24a,https://i.scdn.co/image/ab67616d0000b273779063301154e835a91a35e0
5LYAuItJcXH06adHkebOmf,https://i.scdn.co/image/ab67616d0000b2730fd576ab075dd6449a8354c8
4lHQCzdK3VdYQvQZnnRouG,https://i.scdn.co/image/ab67616d0000b2732a17bb450e1326dbac8a456d
4439Mou4sRGUKSXpXBUOT2,https://i.scdn.co/image/ab67616d0000b2738090251ac7203df3bd8d3b12
2qGE8x9qNrxPNJZEdHibx0,https://i.scdn.co/image/ab67616d0000b2739fd5ead06cda1f0f0caa7e6d
6y6GFyjVFwWI7lJbbbF0hU,https://i.scdn.co/image/ab67616d0000b27395a4d07bfbfe6dbb37a232a9
3S2ypj6FSu07jVKFSTAUjm,https://i.scdn.co/image/ab67616d0000b27388de62ebcb16af8ba6cfccbb
40V54Cj1JFSTpaJi8UikZE,https://i.scdn.co/image/ab67616d0000b273ac410bc97d1d714590b7aa25
5ekl3XnNi8NcqgUBsZcnIM,https://i.scdn.co/image/ab67616d0000b273b3a7956c7be9630b6b22dfbb
3TQbr3G3U5wlwEJejmqC1F,https://i.scdn.co/image/ab67616d0000b273c6bfaf942ed981d5c4c922e4
0JSSvxGMpEBnsDbs9BlM6R,https://i.scdn.co/image/ab67616d0000b273be7a3a1e2d663eea2918e5a3
1KRpJeeB2JEG6AW6Uri3QX,https://i.scdn.co/image/ab67616d0000b2735a0356dd4c5822509208f525
7DKv6FjD4xxeT4ZmEdec9W,https://i.scdn.co/image/ab67616d0000b2736fa7804b703d1a0fe204d1da
1WYEDcS7WGjv0rG7rmMX3o,https://i.scdn.co/image/ab67616d0000b2732cdc4b4e178dabf49c002280
1xYBeQ5u8uaJ3oBWktjGyJ,https://i.scdn.co/image/ab67616d0000b2736c4c83779f5d3cd6ad3e1aec
5BeMNrGr9Wk3mDmf0DbQaA,https://i.scdn.co/image/ab67616d0000b273fc7e7b7b5c51533cace8f556
3ACnarSkTKiOTj4rsnFkgf,https://i.scdn.co/image/ab67616d0000b273638c13974c6fcfda8017e5d9
1zS85RlXiRuTiWpDIOhICA,https://i.scdn.co/image/ab67616d0000b273f860547bc8ba0c59df4fe2c3
7m9ZKfj6hFbmSODayXJQJr,https://i.scdn.co/image/ab67616d0000b27377947d474e6070e8292a0c04
4yBxXm4dDL00YGdO5G9ubK,https://i.scdn.co/image/ab67616d0000b27326ff57bc134aa594b08bf721
72Z17vmmeQKAg8bptWvpVG,https://i.scdn.co/image/ab67616d0000b2733395f3e809dfbc2b1101d464
0auKlivXpm76wR63mMJ3pR,https://i.scdn.co/image/ab67616d0000b273522088789d49e216d9818292
0ZfP7K8NoyJRjEfWWk8Mlv,https://i.scdn.co/image/ab67616d0000b27346ed71f4f0ab02c72179b15d
3F34I6GIzPjDUMSHVpo7RP,https://i.scdn.co/image/ab67616d0000b273b2c00c75057284b41f88c304
4hUxQfRaK656gV4CYotlzZ,https://i.scdn.co/image/ab67616d0000b2733d3c385f7bc57613553ed8af
0pQskrTITgmCMyr85tb9qq,https://i.scdn.co/image/ab67616d0000b273c41f4e1133b0e6c5fcf58680
0J2p4KYdr6Mg4ET6JPlbe1,https://i.scdn.co/image/ab67616d0000b2734d08fc99eff4ed52dfce91fa
61nSbxyL6VRPp32AMscxiF,https://i.scdn.co/image/ab67616d0000b273b7455050287d805f17dad811
0B7uZOwTqMBLhvbD3RIFLa,https://i.scdn.co/image/ab67616d0000b2733119f490f02fcee6514e8604
0EE9L8Gt2f2ftxwZLX8SwT,https://i.scdn.co/image/ab67616d0000b27330cfd1f4e913506fbe6960ac
1Tb4F7Ba2C8Yt3cMnYa3X3,https://i.scdn.co/image/ab67616d0000b273f65523eab3152dcca83b6fca
23BO6YozrAXUta1buxFZ80,https://i.scdn.co/image/ab67616d0000b273ec10f247b100da1ce0d80b6d
5lMJAriKOCtObPGOlG3eNP,https://i.scdn.co/image/ab67616d0000b273d160d06f13f9c9987b6b7ddf
50fCm9Wuerl1Ram0FUDEaL,https://i.scdn.co/image/ab67616d0000b2737f2ffc82c93849c2dcd85847
0UQNHlrHiz19Htk7YTLVe5,https://i.scdn.co/image/ab67616d0000b273f6c46838e4425ea96e2562fe
2nekCvC9XRXQckWNnkIp2l,https://i.scdn.co/image/ab67616d0000b273426288df0f8a68ea555c8d97
6v0yKEba7ZN6BHkOOoWfsN,https://i.scdn.co/image/ab67616d0000b273e69c637a33eeb3f072d8f57c
5OebIZWU7MdW00L5NYN8vn,https://i.scdn.co/image/ab67616d0000b273f121439bce0dc528a5774a1e
55N8cxpE1QDoeaaNqUnoZ2,https://i.scdn.co/image/ab67616d0000b273bfa99afb5ef0d26d5064b23b
5QpkOt3hpNf4zns6FJ7JRH,https://i.scdn.co/image/ab67616d0000b273a6370891414f39e41894af2b
7aYBo6hxjhJc8ECkbKAqnR,https://i.scdn.co/image/ab67616d0000b27377253620f08397c998d18d78
3PjMtNzwhDHqxoKudm6GvF,https://i.scdn.co/image/ab67616d0000b27334ef8f7d06cf2fc2146f420a
4Iph38Elza0BBFTMhrdyNs,https://i.scdn.co/image/ab67616d0000b2739702b6beeaec7194eb67e235
1wo3UYTeizJHkwYIuLuBPF,https://i.scdn.co/image/ab67616d0000b27385e5dcc05cc216a10f141480
4GmNrwKfYowpEDfa3cnpFC,https://i.scdn.co/image/ab67616d0000b2739a686fbd9ee8ced578b74461
5Ux410GeRXrojeP0vUPx6v,https://i.scdn.co/image/ab67616d0000b27364928c5c1526232159812d58
03QZPaiw1N94aAFDv7k5Em,https://i.scdn.co/image/ab67616d0000b273580abb98fc826cfe362a65cb
0ENSn4fwAbCGeFGVUbXEU3,https://i.scdn.co/image/ab67616d0000b2739abd9791c5f53aa26f2ef4b5
42ZrMq4BKsWDrrbMnMRYaK,https://i.scdn.co/image/ab67616d0000b2736ba1cffc9b2c5469503430b3
7Jh1bpe76CNTCgdgAdBw4Z,https://i.scdn.co/image/ab67616d0000b273204f41d52743c6a9efd62985
